Year, Month, Score
12 , 1 , 28
12 , 2 , 35
12 , 3 , 0
12 , 4 , -17.5
12 , 5 , 32.4625
12 , 6 , 39.531776
12 , 7 , 13.124999
12 , 8 , 34.901573
12 , 9 , 9.985939
12 , 10 , 32.5
12 , 11 , 11.392014
12 , 12 , 18.696745
13 , 1 , -83.404366
13 , 2 , 27.07396
13 , 3 , 17.5
13 , 4 , 31.638544
13 , 5 , 17.316896
13 , 6 , 23.332859
13 , 7 , -29.545835
13 , 8 , 19.83455
13 , 9 , 26.289003
13 , 10 , 18.101564
13 , 11 , 23.57396
13 , 12 , 35.241375
14 , 1 , 19.790495
14 , 2 , 24.996693
14 , 3 , 15.486094
14 , 4 , 28.636364
14 , 5 , 35
14 , 6 , 29.419445
14 , 7 , 26.814169
14 , 8 , 21.868517
14 , 9 , 27.207392
14 , 10 , 32.1178
14 , 11 , 19.697226
14 , 12 , 12.382291
15 , 1 , 15.326409
15 , 2 , 23.702015
15 , 3 , 24.23077
15 , 4 , 20.72616
15 , 5 , 29.166666
15 , 6 , 33.205307
15 , 7 , 13.382353
15 , 8 , 12.970834
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
